Sample ID,Sample Name,Object ID,Sr Number,Is the post still online?,Is the post antisemitic according to IHRA-WDA,IHRA Section That Applies (check at least one),"""Antisemitism is a certain perception of Jews, which may be expressed as hatred toward Jews. Rhetorical and physical manifestations of antisemitism are directed toward Jewish or non-Jewish individuals and/or their property, toward Jewish community institutions and religious facilities.""",What content type transports the antisemitic message? (check all that apply),Is the post calling out or reporting on antisemitism?,Time Taken
151,Antisemitism Post Annotation,1937588348480020880,1,N/A,"Probably not antisemitic, Probably antisemitic",None or n/a,N/A,"Written text, Visuals / imagery / video, Post description, hashtag, or username",no,81
151,Antisemitism Post Annotation,1934365751302848908,2,N/A, Confident not antisemitic,None or n/a,N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,39
151,Antisemitism Post Annotation,1937001630332850515,3,yes,Probably antisemitic,"3.1.2 Mendacious or stereotypical allegations about Jews as such + Jewish power, 3.1.10 Drawing comparisons between Israeli policy and that of the Nazis",N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,204
151,Antisemitism Post Annotation,1935847787733889259,4,"yes, no", Confident not antisemitic,None or n/a,N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,41
151,Antisemitism Post Annotation,1941641991982284958,5,yes,Probably not antisemitic,3.1.10 Drawing comparisons between Israeli policy and that of the Nazis,N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,27
151,Antisemitism Post Annotation,1933668180104290734,6,"yes, no",Probably not antisemitic,"3.1.8 Applying double standards to Israel (e.g., expectations not required of other nations), 3.1.10 Drawing comparisons between Israeli policy and that of the Nazis",N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,68
151,Antisemitism Post Annotation,1934574942445592704,7,no,Probably not antisemitic,"None or n/a, 3.1.8 Applying double standards to Israel (e.g., expectations not required of other nations)",N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,92
151,Antisemitism Post Annotation,1935439378580463694,8,yes, Confident not antisemitic,None or n/a,N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,31
151,Antisemitism Post Annotation,1906334666178617481,9,"yes, no",Probably not antisemitic,"3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, 3.1.10 Drawing comparisons between Israeli policy and that of the Nazis",N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,107
151,Antisemitism Post Annotation,1732832602355126738,10,no,N/A," 3.1.3 Blaming the Jews as a people for what a single person or group has done, 3.1.10 Drawing comparisons between Israeli policy and that of the Nazis",N/A,"Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video, Post description, hashtag, or username",no,467
